Index,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
382,iseyin,0,NG,1551647310,56,7.97,3.6,75.55,2.28
383,kedrovyy,64,RU,1551645000,92,56.17,91.82,17.6,2.24
384,saint-donat-de-montcalm,80,CA,1551647311,62,46.32,-74.22,25.83,5.41
385,saint-augustin,0,FR,1551646988,33,44.83,-0.61,62.6,10.29
386,pacific grove,90,US,1551647296,93,36.62,-121.92,62.01,8.05
387,tumpat,75,MY,1551643200,94,6.2,102.17,69.8,2.39
388,igarka,92,RU,1551647311,86,67.47,86.57,17.77,13.69
389,manoel urbano,8,BR,1551647312,64,-8.84,-69.26,89.59,3.4
390,maragogi,76,BR,1551647312,86,-9.01,-35.22,79.83,10.67
391,vao,88,EE,1551647214,82,59.1,26.19,21.96,9.22
392,ayan,0,TR,1551647312,70,40.67,33.6,17.73,3.18
393,isangel,0,VU,1551647048,95,-19.55,169.27,82.93,8.55
394,jiayuguan,0,CN,1551647312,42,39.77,98.29,6.61,3.18
395,ketchikan,1,US,1551642780,32,55.34,-131.65,37.4,13.87
396,merauke,56,ID,1551647313,99,-8.49,140.4,78.52,5.53
397,tsumeb,56,NA,1551647313,62,-19.25,17.72,71.68,3.18
398,elko,90,US,1551647012,69,40.83,-115.76,37.99,3.29
399,zhigansk,68,RU,1551647041,73,66.77,123.37,-2.8,6.64
400,ginda,0,IN,1551647313,94,30.69,78.49,29.92,2.39
401,pathein,0,MM,1551647028,89,16.78,94.73,66.51,6.76
402,kutum,0,SD,1551647314,32,14.2,24.66,61.06,8.55
403,khandyga,0,RU,1551647314,46,62.65,135.58,-29.39,2.51
404,nelson bay,0,AU,1551647031,83,-32.72,152.14,73.0,3.36
405,manzil salim,0,TN,1551643200,65,35.86,8.48,44.6,2.24
406,goderich,92,CA,1551647059,89,43.74,-81.71,26.01,5.19
407,shingu,100,JP,1551647315,100,33.72,135.99,55.75,12.12
408,padang,88,ID,1551647031,100,-0.92,100.36,83.34,9.33
409,staraya poltavka,80,RU,1551647315,84,50.48,46.48,19.44,16.37
410,cairns,75,AU,1551647159,88,-16.92,145.77,75.2,9.17
411,bulgan,0,MN,1551647319,61,48.81,103.53,11.11,2.95
412,marfino,0,RU,1551645000,85,56.07,37.56,24.8,6.71
413,sambava,56,MG,1551647131,100,-14.27,50.17,80.5,9.22
414,kitob,0,UZ,1551645000,61,39.12,66.88,48.2,6.93
415,conway,90,US,1551646992,100,33.84,-79.05,69.01,5.82
416,amantea,40,IT,1551646992,87,39.13,16.07,48.99,1.12
417,astoria,1,US,1551647017,39,46.19,-123.83,50.0,14.99
418,muroto,88,JP,1551647320,100,33.37,134.14,49.81,6.87
419,kempsey,40,AU,1551647045,100,-31.08,152.84,66.99,0.94
420,at-bashi,88,KG,1551647320,82,41.17,75.81,15.84,3.4
421,brewster,40,US,1551647283,64,41.76,-70.08,39.99,10.29
422,basqal,40,AZ,1551646800,86,40.75,48.39,37.4,5.82
423,araouane,0,ML,1551647321,29,18.9,-3.53,58.68,4.18
424,vauvert,75,FR,1551647227,93,43.69,4.28,53.6,2.24
425,antofagasta,20,CL,1551643200,64,-23.65,-70.4,71.6,14.99
426,churapcha,0,RU,1551647041,34,62.0,132.43,-23.63,2.62
427,onokhino,75,RU,1551645000,85,56.92,65.54,19.4,8.95
428,young,0,UY,1551647312,51,-32.7,-57.63,90.0,5.99
429,vidim,20,CZ,1551647290,66,50.47,14.53,51.01,10.29
430,namatanai,8,PG,1551647322,100,-3.66,152.44,80.5,7.31
431,constitucion,20,MX,1551646816,8,23.99,-104.67,81.0,2.24
432,alice springs,32,AU,1551645000,26,-23.7,133.88,71.6,3.36
433,abha,0,SA,1551643200,62,18.22,42.5,57.2,10.29
434,kyshtovka,88,RU,1551647323,87,56.56,76.62,29.88,22.53
435,lahad datu,8,MY,1551647323,100,5.02,118.33,73.26,3.74
436,kapuskasing,90,CA,1551644580,65,49.42,-82.43,6.8,8.05
437,kurtamysh,68,RU,1551647324,89,54.91,64.43,25.69,12.46
438,sovetskiy,80,RU,1551647074,86,56.76,48.47,16.87,7.2
439,coro,0,VE,1551647324,56,11.41,-69.67,86.49,13.47
440,bijie,80,CN,1551647324,81,27.3,105.3,52.51,7.54
441,mvuma,0,ZW,1551647324,77,-19.28,30.53,66.24,8.66
442,llanes,0,ES,1551646972,33,43.42,-4.75,64.99,18.99
443,nekhayevskiy,92,RU,1551646969,75,50.41,41.76,25.0,15.01
444,maputo,75,MZ,1551643200,94,-25.97,32.57,77.0,6.93
445,bubaque,0,GW,1551647325,78,11.28,-15.83,82.84,8.32
446,kamaishi,44,JP,1551647325,80,39.28,141.86,34.24,4.41
447,havre,1,US,1551646913,63,48.55,-109.68,-0.01,21.92
448,hasaki,75,JP,1551647075,93,35.73,140.83,51.8,17.22
449,oranjemund,64,ZA,1551647326,90,-28.55,16.43,63.36,9.78
450,xichang,8,CN,1551647075,31,27.88,102.25,44.73,2.28
451,mabaruma,64,GY,1551647327,70,8.2,-59.78,81.4,9.55
452,mongo,20,CF,1551647327,64,4.83,22.92,77.08,2.95
453,pochutla,20,MX,1551646805,52,15.74,-96.47,91.0,10.67
454,xiamen,90,CN,1551643200,100,24.46,118.07,59.0,6.71
455,kokkola,0,FI,1551646912,84,63.84,23.13,10.0,3.36
456,sassandra,8,CI,1551647328,95,4.95,-6.09,82.98,11.12
457,harper,90,US,1551645300,93,30.3,-99.24,39.2,13.87
458,dukat,0,RS,1551647108,78,42.44,22.31,33.01,1.83
459,sfantu gheorghe,0,RO,1551647052,80,44.65,26.83,42.01,9.17
460,kaili,44,ID,1551647329,88,-3.46,120.21,67.9,1.95
461,barnala,24,IN,1551647184,94,30.38,75.54,51.93,2.84
462,obertyn,0,UA,1551645000,59,48.7,25.17,35.6,2.24
463,high level,20,CA,1551643200,45,58.52,-117.13,5.0,3.4
464,finschhafen,36,PG,1551647329,92,-6.6,147.85,72.36,1.05
465,matay,0,EG,1551647329,67,28.42,30.79,46.44,3.74
466,sloboda,80,RU,1551647330,77,57.03,59.56,16.29,10.11
467,zastron,0,ZA,1551647330,75,-30.3,27.08,60.07,2.28
468,palu,12,ID,1551647330,95,-0.9,119.87,63.22,1.72
469,sumbawanga,90,TZ,1551643200,88,-7.95,31.62,64.4,4.97
470,kolomak,48,UA,1551647331,83,49.84,35.31,26.14,14.03
471,daugai,90,LT,1551646822,93,54.36,24.35,41.0,11.41
472,mirnyy,0,RU,1551647331,72,56.57,36.46,7.83,4.63
473,biu,32,NG,1551647101,29,10.61,12.19,82.3,6.64
474,chimoio,0,MZ,1551647332,88,-19.11,33.48,73.84,4.52
475,rexburg,1,US,1551646807,57,43.82,-111.79,28.0,9.17
476,lucapa,44,AO,1551647332,92,-8.42,20.74,67.0,2.62
477,sitka,68,US,1551646856,77,37.17,-99.65,10.99,11.01
478,la rioja,36,AR,1551647182,45,-29.41,-66.86,90.94,3.51
479,poyarkovo,76,RU,1551647333,73,49.62,128.65,17.23,2.73
480,haldibari,0,IN,1551647333,81,26.34,88.78,56.92,4.97
481,gamba,8,CN,1551647333,36,28.28,88.52,-14.81,2.17
482,isla mujeres,40,MX,1551647103,58,21.23,-86.73,84.2,20.8
483,leh,56,IN,1551647063,73,34.16,77.58,-3.38,1.72
484,brae,92,GB,1551644400,87,60.4,-1.35,44.6,11.41
485,tugulym,75,RU,1551645000,85,57.06,64.64,19.4,8.95
486,antalaha,68,MG,1551647334,96,-14.9,50.28,78.03,5.41
487,nador,0,MA,1551645000,87,35.17,-2.93,57.2,3.36
488,swan river,44,CA,1551647334,73,52.11,-101.27,5.04,9.66
489,ulaangom,20,MN,1551647334,62,49.98,92.07,-3.88,0.83
490,morlaix,80,FR,1551647287,87,48.58,-3.83,51.8,31.09
491,sarka ghat,80,IN,1551647335,83,31.7,76.73,41.49,3.62
492,thunder bay,75,CA,1551647151,45,48.41,-89.26,7.0,10.29
493,cartagena del chaira,24,CO,1551647335,78,1.33,-74.84,82.75,2.73
494,biggar,90,GB,1551647283,86,55.62,-3.52,44.01,6.93
495,marrakesh,20,MA,1551645000,40,31.63,-7.99,68.0,6.93
496,viedma,92,AR,1551647336,41,-40.81,-62.99,77.71,14.03
497,hualmay,24,PE,1551647091,66,-11.1,-77.61,77.17,4.97
498,la asuncion,80,EC,1551647336,96,-1.64,-78.74,53.64,1.95
499,noumea,20,NC,1551645000,100,-22.28,166.46,75.2,5.19
500,nyurba,48,RU,1551647336,69,63.29,118.35,1.57,3.74
501,zarubino,12,RU,1551647336,100,42.65,131.06,29.16,5.64
502,puerto madero,0,AR,1551647300,64,-34.61,-58.36,82.4,12.75
503,lata,0,IN,1551647088,94,30.78,78.62,29.92,2.39
504,qaqortoq,80,GL,1551642600,91,60.72,-46.03,32.0,3.36
505,phangnga,20,TH,1551645000,88,8.45,98.53,77.0,2.62
506,cabo rojo,90,PR,1551647315,87,18.09,-67.15,82.0,10.29
507,atar,0,MR,1551647259,16,20.52,-13.05,65.38,7.09
508,rio gallegos,40,AR,1551643200,29,-51.62,-69.22,60.8,13.87
509,loncoche,20,CL,1551646835,48,-39.37,-72.63,69.01,12.75
510,huarmey,36,PE,1551647339,56,-10.07,-78.15,78.7,4.74
511,usinsk,8,RU,1551647339,59,66.0,57.56,-7.25,9.1
512,mount isa,0,AU,1551645000,73,-20.73,139.49,69.8,5.75
513,tuburan,75,PH,1551643200,83,10.73,123.82,78.8,2.24
514,romny,64,UA,1551647339,82,50.74,33.49,27.94,14.03
515,celestun,0,MX,1551647283,86,20.87,-90.4,82.39,5.75
516,port macquarie,40,AU,1551647045,100,-31.43,152.91,66.99,0.94
517,fare,68,PF,1551647340,100,-16.7,-151.02,82.71,3.74
518,ajdabiya,0,LY,1551647340,88,30.75,20.22,49.09,5.86
519,port keats,24,AU,1551647136,89,-14.25,129.55,80.86,11.79
520,stromness,90,CA,1551647337,58,42.87,-79.55,30.0,5.82
521,volosovo,75,RU,1551645000,85,59.45,29.48,15.8,2.24
522,shieli,8,KZ,1551647341,72,44.18,66.74,33.25,6.2
523,peniche,75,PT,1551647107,93,39.36,-9.38,59.0,9.17
524,barra do garcas,64,BR,1551647341,88,-15.89,-52.26,78.39,5.64
525,matai,90,TZ,1551643200,88,-8.3,31.52,64.4,2.73
526,atherton,90,GB,1551647306,61,53.52,-2.49,48.99,19.46
527,maniitsoq,68,GL,1551647342,91,65.42,-52.9,17.5,1.5
528,valparaiso,90,US,1551647282,58,41.47,-87.06,24.8,13.87
529,olinda,75,EC,1551646931,70,-2.03,-79.75,87.01,5.82
530,kavaratti,0,IN,1551647173,100,10.57,72.64,81.94,11.56
531,campo verde,0,PE,1551647343,40,-8.47,-74.81,94.99,3.18
532,karratha,76,AU,1551647343,49,-20.74,116.85,80.95,1.39
533,villa carlos paz,20,AR,1551646848,55,-31.42,-64.5,89.01,20.8
534,yulara,0,AU,1551643200,24,-25.24,130.99,78.8,8.05
535,plouzane,92,FR,1551647287,87,48.38,-4.62,51.8,26.4
536,banikoara,0,BJ,1551647344,25,11.3,2.44,76.81,8.21
537,bodmin,75,GB,1551647156,81,50.47,-4.72,51.01,18.34
538,portmore,40,JM,1551643200,54,17.97,-76.87,82.4,13.87
539,tyrma,0,RU,1551647344,60,50.04,132.17,0.18,2.73
540,minab,0,IR,1551645000,77,27.15,57.07,62.6,1.12
541,mastung,0,PK,1551647345,95,29.8,66.85,35.86,2.62
542,cabra,0,ES,1551647292,58,37.47,-4.43,61.0,1.12
543,palmares do sul,8,BR,1551645927,70,-30.26,-50.51,80.01,5.99
544,kuliyapitiya,40,LK,1551643800,83,7.47,80.04,78.8,5.82
545,rocha,0,UY,1551647346,41,-34.48,-54.34,77.62,7.43
546,lapua,44,FI,1551647268,78,62.97,23.01,15.01,2.24
547,huntington,90,US,1551647344,55,40.87,-73.43,41.0,12.75
548,nizhneudinsk,0,RU,1551647346,79,54.91,99.03,16.06,5.08
549,kieta,24,PG,1551647128,100,-6.22,155.63,78.84,4.41
550,tecoanapa,5,MX,1551642600,70,16.99,-99.26,84.2,10.29
551,ambilobe,0,MG,1551647347,74,-13.19,49.05,79.38,8.21
