Index,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,bereda,75,ES,1551647043,82,43.27,-7.54,57.0,14.99
88,ponta do sol,92,BR,1551647243,88,-20.63,-46.0,70.15,3.85
89,chaman,64,AF,1551647243,90,30.92,66.46,38.56,2.39
90,requena,0,ES,1551647223,42,39.49,-1.1,66.0,4.7
91,mar del plata,32,AR,1551647038,41,-46.43,-67.52,63.94,23.09
92,ugoofaaru,92,MV,1551647244,99,5.67,73.0,82.89,10.11
93,simao,12,CN,1551647244,72,22.76,100.79,48.69,2.28
94,whitehorse,20,CA,1551647086,47,60.72,-135.06,16.0,10.29
95,codrington,90,AU,1551646902,100,-28.95,153.24,68.0,4.07
96,pisco,40,PE,1551643200,30,-13.71,-76.2,71.6,10.29
97,mount vernon,90,US,1551647244,55,40.91,-73.84,41.0,8.05
98,deputatskiy,0,RU,1551647245,0,69.3,139.9,-37.04,2.73
99,teacapan,0,MX,1551647245,35,22.54,-105.74,86.04,3.4
100,acapulco,5,MX,1551642600,70,16.86,-99.88,84.2,10.29
101,narsaq,44,GL,1551642600,68,60.91,-46.05,32.0,3.36
102,cockburn town,0,TC,1551647246,96,21.46,-71.14,78.43,16.82
103,smithers,5,CA,1551643200,46,54.78,-127.17,6.8,5.82
104,srednekolymsk,20,RU,1551647246,34,67.46,153.71,-23.09,2.39
105,east london,8,ZA,1551647215,100,-33.02,27.91,74.92,20.29
106,pevek,64,RU,1551647018,83,69.7,170.27,-2.35,8.43
107,necochea,48,AR,1551647046,42,-38.55,-58.74,79.0,1.01
108,vardo,90,US,1551647117,80,39.62,-77.74,34.0,6.93
109,khorixas,0,NA,1551647248,48,-20.37,14.96,68.17,4.52
110,sayaxche,44,GT,1551647248,40,16.52,-90.17,93.96,5.64
111,salalah,20,OM,1551642600,65,17.01,54.1,77.0,2.24
112,port elizabeth,90,US,1551647224,93,39.31,-74.98,42.01,5.82
113,scarborough,80,GB,1551647171,76,54.28,-0.41,51.8,20.8
114,longyearbyen,75,NO,1551646200,58,78.22,15.63,-2.21,9.17
115,huanren,0,CN,1551647249,72,41.26,125.37,20.74,2.06
116,kahului,20,US,1551647184,50,20.89,-156.47,78.01,12.75
117,port lincoln,0,AU,1551647249,100,-34.72,135.86,62.95,8.43
118,ambagarh chauki,0,IN,1551647249,88,20.78,80.75,65.2,3.74
119,esperance,40,TT,1551646814,69,10.24,-61.45,82.4,11.41
120,tutoia,40,BR,1551643200,58,-2.76,-42.27,86.0,11.41
121,sorong,80,ID,1551647250,100,-0.86,131.25,80.23,10.33
122,ampanihy,32,MG,1551647251,94,-24.69,44.75,69.88,9.44
123,norman wells,5,CA,1551643200,64,65.28,-126.83,-2.21,1.16
124,ostrovnoy,0,RU,1551647021,60,68.05,39.51,0.63,9.78
125,nianzishan,0,CN,1551647251,70,47.51,122.88,20.79,2.84
126,talnakh,8,RU,1551647020,52,69.49,88.39,-10.58,3.4
127,provideniya,92,RU,1551647251,94,64.42,-173.23,29.34,34.83
128,klyuchi,32,RU,1551647252,86,52.25,79.17,26.23,11.68
129,staryy nadym,80,RU,1551647252,87,65.61,72.68,17.14,16.71
130,muhos,0,FI,1551644400,83,64.81,26.0,-13.01,2.24
131,seoul,75,KR,1551646200,69,37.57,126.98,42.8,3.36
132,impfondo,32,CD,1551647253,90,1.62,18.06,75.96,2.62
133,hobart,0,AU,1551646885,71,-42.88,147.33,57.2,8.05
134,lorengau,0,PG,1551647254,99,-2.02,147.27,82.84,4.97
135,kodiak,1,US,1551646925,16,39.95,-94.76,12.0,14.99
136,aklavik,75,CA,1551643200,59,68.22,-135.01,10.4,2.95
137,touros,92,BR,1551647129,97,-5.2,-35.46,78.25,6.42
138,quimper,92,FR,1551647224,93,48.0,-4.1,53.01,19.46
139,itarema,88,BR,1551647254,99,-2.92,-39.92,75.46,2.95
140,destin,75,US,1551647111,88,30.39,-86.5,75.2,18.34
141,ewa beach,20,US,1551647028,44,21.32,-158.01,78.8,5.82
142,charters towers,32,AU,1551647255,91,-20.07,146.27,66.64,9.89
143,hithadhoo,92,MV,1551647018,100,-0.6,73.08,83.34,11.34
144,broome,40,GB,1551647005,71,52.47,1.45,53.01,29.97
145,sidney,1,US,1551646885,70,47.72,-104.16,-2.21,29.97
146,bluff,76,AU,1551646983,81,-23.58,149.07,69.7,11.9
147,ballater,88,GB,1551647164,81,57.05,-3.04,44.6,5.82
148,lagos,0,NG,1551643200,83,6.46,3.39,84.2,5.82
149,san policarpo,80,PH,1551647256,100,12.18,125.51,76.36,6.08
150,mount gambier,90,AU,1551645000,100,-37.83,140.78,46.4,2.95
151,arraial do cabo,75,BR,1551643200,74,-22.97,-42.02,84.2,6.93
152,poum,0,MK,1551647256,78,41.28,20.71,19.93,2.06
153,butaritari,92,KI,1551647012,100,3.07,172.79,77.71,10.89
154,qasigiannguit,76,GL,1551642600,78,68.82,-51.19,17.6,2.73
155,tsabong,0,BW,1551647257,23,-26.02,22.4,78.52,10.78
156,chumikan,68,RU,1551647257,72,54.72,135.31,8.5,2.95
157,saint anthony,1,US,1551647104,57,43.97,-111.68,28.0,9.17
158,abu dhabi,0,AE,1551643200,59,24.47,54.37,64.4,8.05
159,ocampo,32,PH,1551647258,98,13.56,123.37,73.66,4.97
160,caohai,0,CN,1551647258,52,26.87,104.28,50.89,13.24
161,matamoros,90,US,1551647123,88,25.87,-97.51,84.2,20.8
162,malanje,48,AO,1551647258,93,-9.54,16.35,68.31,2.39
163,alugan,80,PH,1551647258,100,12.22,125.48,76.36,6.08
164,souillac,68,FR,1551647169,36,45.6,-0.6,62.6,16.11
165,maceio,40,BR,1551646800,78,-9.67,-35.74,78.8,9.17
166,chernyshevskiy,56,RU,1551647259,76,63.01,112.47,6.84,4.41
167,aleksandrov gay,48,RU,1551647259,85,50.14,48.57,16.69,14.81
168,petropavlovsk-kamchatskiy,56,RU,1551645000,60,53.05,158.65,8.6,4.47
169,khatanga,44,RU,1551647071,75,71.98,102.47,-0.1,18.39
170,salym,76,RU,1551647260,69,60.06,71.48,21.01,14.36
171,saint george,20,GR,1551642600,80,39.45,22.34,41.0,5.82
172,moyale,32,ET,1551647260,77,3.52,39.05,67.14,2.62
173,qaanaaq,0,GL,1551647261,85,77.48,-69.36,-6.71,11.56
174,tezu,92,IN,1551647261,99,27.93,96.16,48.24,1.83
175,senovo,20,SI,1551647138,58,46.02,15.48,54.0,10.29
176,lokhvytsya,56,UA,1551647261,79,50.37,33.26,28.12,14.03
177,vila velha,75,BR,1551647161,74,-3.71,-38.6,82.4,6.93
178,torbay,90,CA,1551647006,92,47.66,-52.73,25.0,19.46
179,saint-philippe,1,CA,1551647034,86,45.36,-73.48,33.01,5.82
180,gushikawa,75,JP,1551645000,68,26.35,127.87,66.2,20.8
181,altay,44,CN,1551647263,56,47.83,88.13,4.54,2.17
182,akropong,20,GH,1551643200,83,5.97,-0.09,82.4,8.05
183,iqaluit,75,CA,1551647083,70,63.75,-68.52,-5.01,2.24
184,kavieng,32,PG,1551647264,100,-2.57,150.8,83.38,6.31
