month,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2018-03-01,329,37:37.0,43:06.6,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29284,Subscriber,1981,male
2018-03-01,118,37:30.1,39:28.4,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29465,Subscriber,1966,male
2018-03-01,76,26:17.9,27:34.7,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29681,Subscriber,1975,male
2018-03-01,578,10:36.2,20:14.9,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,31695,Subscriber,1970,male
2018-03-01,485,21:47.9,29:53.3,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31802,Subscriber,1979,male
2018-03-01,352,11:22.8,17:15.1,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,31934,Subscriber,1974,male
2018-03-01,450,33:53.0,41:23.7,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29244,Subscriber,1984,male
2018-03-01,307,26:33.6,31:41.1,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,31811,Subscriber,1968,female
2018-03-01,263,31:28.8,35:52.6,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,26247,Subscriber,1986,male
2018-03-01,238,41:05.3,45:04.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31828,Subscriber,1974,male
2018-03-01,246,43:06.8,47:13.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31747,Subscriber,1983,male
2018-03-01,1257,02:01.3,22:59.0,3183,Exchange Place,40.7162469,-74.0334588,3212,Christ Hospital,40.73478582,-74.05044364,26431,Subscriber,1987,male
2018-03-01,401,04:03.7,10:45.5,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,26289,Subscriber,1941,female
2018-03-01,281,04:50.2,09:32.1,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,31802,Subscriber,1981,male
2018-03-01,235,13:09.6,17:04.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29679,Subscriber,1991,male
2018-03-01,265,14:31.0,18:56.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31911,Subscriber,1968,male
2018-03-01,356,16:03.1,21:59.2,3183,Exchange Place,40.7162469,-74.0334588,3273,Manila & 1st,40.72165072,-74.04288411,31751,Subscriber,1980,male
2018-03-01,278,20:21.1,24:59.5,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,31833,Subscriber,1981,male
2018-03-01,229,21:24.6,25:14.0,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,31946,Subscriber,1984,male
2018-03-01,580,23:41.3,33:21.9,3183,Exchange Place,40.7162469,-74.0334588,3269,Brunswick & 6th,40.72601173,-74.05038893,31940,Subscriber,1979,male
2018-03-01,217,31:05.0,34:42.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26262,Subscriber,1987,male
2018-03-01,1756,40:10.0,09:26.7,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,31739,Subscriber,1976,male
2018-03-01,575,41:17.6,50:53.0,3183,Exchange Place,40.7162469,-74.0334588,3194,McGinley Square,40.72533993,-74.06762213,29270,Subscriber,1989,male
2018-03-01,285,44:05.5,48:51.0,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,26279,Subscriber,1986,male
2018-03-01,221,48:50.9,52:32.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29244,Subscriber,1985,male
