month,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2019-03-01,306,47:08.2,52:14.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26272,Subscriber,1989,male
2019-03-01,123,30:53.0,32:56.8,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26192,Subscriber,1966,male
2019-03-01,328,18:30.4,23:59.1,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,26226,Subscriber,1971,female
2019-03-01,95,04:47.2,06:22.8,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26204,Subscriber,1985,male
2019-03-01,169,51:29.4,54:19.2,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,29449,Subscriber,1971,male
2019-03-01,257,08:37.8,12:55.3,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29577,Subscriber,1984,male
2019-03-01,440,13:46.3,21:06.3,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,26272,Subscriber,1987,female
2019-03-01,193,40:34.6,43:47.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29500,Subscriber,1990,male
2019-03-01,278,37:44.3,42:23.2,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29504,Subscriber,1984,male
2019-03-01,277,37:47.0,42:24.6,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29482,Subscriber,1984,female
2019-03-01,1170,23:38.8,43:08.8,3183,Exchange Place,40.7162469,-74.0334588,3195,Sip Ave,40.7308971,-74.06391263,26196,Subscriber,1980,male
2019-03-01,345,35:17.3,41:03.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29303,Subscriber,1976,female
2019-03-01,152,55:55.3,58:27.4,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.7183552,-74.03891444,29586,Subscriber,1976,male
2019-03-01,176,07:35.4,10:32.0,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26173,Subscriber,1974,male
2019-03-01,525,22:15.3,31:00.4,3183,Exchange Place,40.7162469,-74.0334588,3273,Manila & 1st,40.72165072,-74.04288411,29203,Subscriber,1970,male
2019-03-01,100,36:38.1,38:18.7,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,26283,Subscriber,1985,male
2019-03-01,677,54:04.1,05:21.1,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,29641,Customer,1973,male
2019-03-01,277,00:35.6,05:13.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26181,Subscriber,1990,male
2019-03-01,212,02:28.5,06:00.9,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26153,Subscriber,1977,male
2019-03-01,669,04:17.2,15:26.5,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,29211,Subscriber,1990,male
2019-03-01,1254,07:46.6,28:41.4,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,26183,Subscriber,1979,male
2019-03-01,240,08:00.4,12:00.5,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26199,Subscriber,1993,male
2019-03-01,182,19:13.0,22:15.3,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26245,Subscriber,1978,male
2019-03-01,323,20:20.5,25:44.2,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29670,Subscriber,1990,male
2019-03-01,234,34:03.9,37:58.5,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,26275,Subscriber,1974,male
2019-03-01,296,24:28.4,29:25.0,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29220,Subscriber,1980,male
2019-03-01,676,17:07.2,28:23.4,3183,Exchange Place,40.7162469,-74.0334588,3269,Brunswick & 6th,40.72601173,-74.05038893,29308,Subscriber,1958,male
2019-03-01,1047,18:18.8,35:46.0,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,29288,Subscriber,1989,male
2019-03-01,219,05:13.3,08:52.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29500,Subscriber,1981,unknown
2019-03-01,323,11:56.7,17:20.5,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29460,Subscriber,1988,female
2019-03-01,116,23:02.6,24:59.3,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,26259,Subscriber,1989,male
2019-03-01,276,07:57.7,12:33.7,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26214,Subscriber,1986,male
2019-03-01,161,56:14.4,58:55.7,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29263,Subscriber,1975,male
